Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,outlet_age,Item_Visibility_bins,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_type_combined_Drinks,Item_type_combined_Food,Item_type_combined_Non-Consumable
FDB56,8.75,8095,Fruits and Vegetables,187.4556,OUT035,2004,3755.112,19,viz,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCP18,12.792854228644991,2830,Household,149.9708,OUT027,1985,4363.6532,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDB56,8.75,8098,Fruits and Vegetables,187.8556,OUT046,1997,1314.2892,26,viz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDT28,13.3,7115,Frozen Foods,151.0708,OUT045,2002,1805.6496,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDD10,12.792854228644991,5268,Snack Foods,178.5344,OUT027,1985,2854.9504,38,lowviz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDW57,8.31,10717,Snack Foods,179.1028,OUT049,1999,3896.2616,24,viz,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
DRB48,16.75,2239,Soft Drinks,38.7822,OUT013,1987,667.7974,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDP09,19.75,3640,Snack Foods,212.0902,OUT018,2009,3185.853,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDH14,17.1,5386,Canned,141.1838,OUT013,1987,2247.7408,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDA47,10.5,10740,Baking Goods,163.121,OUT013,1987,1794.3310000000001,36,viz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDG12,6.635,0,Baking Goods,121.3098,OUT045,2002,2530.7058,21,,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRK49,14.15,3923,Soft Drinks,41.4138,OUT013,1987,812.2760000000001,36,lowviz,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
FDD03,13.3,8577,Dairy,232.53,OUT046,1997,699.09,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
FDS52,8.89,24,Frozen Foods,102.4016,OUT017,2007,2732.4432,16,lowviz,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
FDW39,12.792854228644991,7220,Meat,176.937,OUT019,1985,176.437,38,lowviz,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
FDX34,12.792854228644991,7854,Snack Foods,121.7098,OUT027,1985,4097.3332,38,viz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV11,9.1,0,Breads,173.2054,OUT045,2002,3151.8972,21,,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDD17,7.5,3462,Frozen Foods,239.0906,OUT049,1999,5942.265,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDZ16,16.85,12236,Frozen Foods,192.4478,OUT017,2007,4843.695,16,highviz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDZ46,7.485,7614,Snack Foods,109.0228,OUT035,2004,2542.0244,19,viz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRA12,11.6,4619,Soft Drinks,140.3154,OUT017,2007,2552.6772,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDY58,11.65,4525,Snack Foods,227.0694,OUT018,2009,1141.847,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCF19,13.0,3833,Household,47.5034,OUT017,2007,680.4476,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
DRJ13,12.65,7048,Soft Drinks,159.0578,OUT045,2002,2085.9514,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDB14,20.25,12484,Canned,92.512,OUT010,1998,186.424,25,highviz,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDJ38,8.6,4541,Canned,190.153,OUT035,2004,3036.048,19,lowviz,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDW11,12.6,5667,Breads,62.7194,OUT017,2007,866.8716,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL40,17.7,535,Frozen Foods,95.041,OUT035,2004,868.8689999999999,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
DRI49,14.15,12670,Soft Drinks,82.4276,OUT046,1997,1137.1864,26,highviz,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDV38,19.25,10038,Dairy,52.7956,OUT017,2007,928.1252,16,viz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRG23,8.88,9042,Hard Drinks,151.7682,OUT013,1987,762.341,36,viz,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
NCP30,20.5,3483,Household,40.2822,OUT045,2002,707.0796,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
FDY25,12.792854228644991,3595,Canned,180.5976,OUT027,1985,7968.2944,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
NCH54,13.5,7929,Household,160.292,OUT046,1997,1438.128,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
NCR53,12.792854228644991,11868,Health and Hygiene,224.4404,OUT027,1985,6976.2524,38,highviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDS52,8.89,275,Frozen Foods,101.7016,OUT010,1998,101.2016,25,lowviz,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDG02,7.855,503,Canned,188.5188,OUT018,2009,952.0939999999999,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCO26,7.235,8318,Household,116.0492,OUT046,1997,1969.4364,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FDH35,12.792854228644991,6784,Starchy Foods,165.4526,OUT027,1985,5262.4832,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDB51,6.92,4311,Dairy,60.5852,OUT045,2002,1314.2892,21,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDX44,9.3,4937,Fruits and Vegetables,90.8172,OUT017,2007,535.3032,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCN07,18.5,6477,Others,132.1284,OUT010,1998,263.6568,25,lowviz,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
NCC31,8.02,1510,Household,154.5972,OUT035,2004,1402.1748,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
NCX54,9.195,5596,Household,105.1622,OUT017,2007,1693.7952,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
NCO55,12.8,9365,Others,105.5938,OUT045,2002,2143.876,21,viz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
NCC30,16.6,2739,Household,177.6344,OUT049,1999,2676.5159999999996,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
FDI16,14.0,0,Frozen Foods,53.06399999999999,OUT035,2004,905.488,19,,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
FDP16,18.6,4439,Frozen Foods,246.3802,OUT049,1999,7370.406,24,lowviz,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
FDB11,16.0,6857,Starchy Foods,226.8404,OUT035,2004,6301.1312,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCB06,17.6,8767,Health and Hygiene,160.692,OUT035,2004,1597.92,19,viz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDA45,21.25,12110,Snack Foods,178.237,OUT035,2004,529.311,19,highviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
NCO26,7.235,8315,Household,117.5492,OUT035,2004,1969.4364,19,viz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
DRJ25,14.6,12024,Soft Drinks,50.3692,OUT017,2007,1034.6532,16,highviz,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDR28,13.85,2434,Frozen Foods,161.52100000000002,OUT018,2009,1794.3310000000001,14,lowviz,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDI04,13.65,7976,Frozen Foods,197.6426,OUT018,2009,2768.3964,14,viz,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
DRK12,12.792854228644991,4705,Soft Drinks,31.29,OUT027,1985,898.83,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
FDX20,7.365,4855,Fruits and Vegetables,226.172,OUT046,1997,3169.208,26,lowviz,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
NCI18,18.35,784,Household,223.5746,OUT018,2009,3589.9936,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
FDB36,5.465,0,Baking Goods,132.5626,OUT018,2009,262.3252,14,,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
FDN13,18.6,12065,Breakfast,99.8358,OUT017,2007,1910.1802,16,highviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
DRD24,13.85,3235,Soft Drinks,140.9154,OUT017,2007,1701.7848,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDQ28,14.0,6813,Frozen Foods,154.5656,OUT013,1987,2471.4496,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDM22,14.0,4758,Snack Foods,54.763999999999996,OUT013,1987,1331.6,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR07,12.792854228644991,8369,Fruits and Vegetables,97.0094,OUT027,1985,1808.9786,38,viz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
FDV25,5.905,5271,Canned,222.5456,OUT018,2009,3315.684,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
DRF49,7.27,7800,Soft Drinks,114.2518,OUT046,1997,2618.5914,26,viz,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
FDW51,6.155,9606,Meat,214.55599999999998,OUT046,1997,2769.728,26,viz,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
DRL01,19.5,8387,Soft Drinks,233.4958,OUT017,2007,5375.0034,16,viz,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
FDP25,15.2,1743,Canned,216.8824,OUT017,2007,2838.9712,16,lowviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDL50,12.15,4849,Canned,125.0046,OUT018,2009,1743.0644,14,lowviz,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCB30,12.792854228644991,2340,Household,198.8084,OUT027,1985,5555.4352,38,lowviz,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
FDW11,12.6,5659,Breads,61.9194,OUT018,2009,619.194,14,lowviz,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
NCM43,14.5,1470,Others,164.821,OUT035,2004,2120.573,19,lowviz,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
FDK44,16.6,11052,Fruits and Vegetables,173.0738,OUT017,2007,3823.0236,16,viz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDM15,11.8,6538,Meat,151.4366,OUT013,1987,1360.2294,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDS31,13.1,5035,Fruits and Vegetables,178.8318,OUT013,1987,3969.4996,36,lowviz,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
FDR47,17.85,0,Breads,196.5794,OUT010,1998,585.2382,25,,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
FDB35,12.3,7229,Starchy Foods,92.6804,OUT045,2002,1010.6844,21,lowviz,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
NCU05,11.8,9808,Health and Hygiene,81.4618,OUT010,1998,161.1236,25,viz,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
DRY23,12.792854228644991,12744,Soft Drinks,42.1112,OUT019,1985,42.6112,38,highviz,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
FDO24,11.1,12597,Baking Goods,157.4604,OUT045,2002,3010.7476,21,highviz,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
FDQ28,12.792854228644991,6796,Frozen Foods,153.0656,OUT027,1985,6024.1584,38,lowviz,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
